subject,speed,leg,trials,n_samples,rmse,r2
AB07_Leo,0mps,R,trial_1;trial_2;trial_3,2418,0.09984254892892798,-6.077491159362497
AB07_Leo,0mps,L,trial_1;trial_2;trial_3,2418,0.08154500490404587,-41.84602098535109
AB07_Leo,0mps,both,trial_1;trial_2;trial_3,4836,0.09115405202574992,-9.42955161096903
AB07_Leo,0p2mps,R,trial_1;trial_2;trial_3,8418,0.09837445370427103,0.1369598705436974
AB07_Leo,0p2mps,L,trial_1;trial_2;trial_3,8418,0.061592940387902154,0.7097889235324167
AB07_Leo,0p2mps,both,trial_1;trial_2;trial_3,16836,0.0820707726515397,0.5197371124503387
AB07_Leo,0p4mps,R,trial_1;trial_2;trial_3,8418,0.0954005501485043,0.5534892849352359
AB07_Leo,0p4mps,L,trial_1;trial_2;trial_3,8418,0.06968481076797636,0.7553041264592474
AB07_Leo,0p4mps,both,trial_1;trial_2;trial_3,16836,0.08353812848156811,0.6726978148374589
AB07_Leo,0p6mps,R,trial_1;trial_2;trial_3,8418,0.0836447200566339,0.782883713671611
AB07_Leo,0p6mps,L,trial_1;trial_2;trial_3,8418,0.08250608714809657,0.7914596136312054
AB07_Leo,0p6mps,both,trial_1;trial_2;trial_3,16836,0.08307735434473693,0.7981705375967177
AB07_Leo,0p8mps,R,trial_1;trial_2;trial_3,8418,0.09575913965769338,0.819093804541255
AB07_Leo,0p8mps,L,trial_1;trial_2;trial_3,8418,0.07962398456260138,0.8754763904001369
AB07_Leo,0p8mps,both,trial_1;trial_2;trial_3,16836,0.08806188660711002,0.858595552705211
AB07_Leo,1p0mps,R,trial_1;trial_2;trial_3,8418,0.09056479311621612,0.8953251450257733
AB07_Leo,1p0mps,L,trial_1;trial_2;trial_3,8418,0.07973529637599291,0.9112480284581996
AB07_Leo,1p0mps,both,trial_1;trial_2;trial_3,16836,0.08532203478688977,0.9058955619153077
AB07_Leo,1p2mps,R,trial_1;trial_2;trial_3,8418,0.0837029032711958,0.935969382331486
AB07_Leo,1p2mps,L,trial_1;trial_2;trial_3,8418,0.08926236289444373,0.9108941511364101
AB07_Leo,1p2mps,both,trial_1;trial_2;trial_3,16836,0.08652729466915779,0.9262368664977195
AB07_Leo,1p4mps,R,trial_1;trial_2;trial_3,8418,0.07825776596965088,0.9552036111455996
AB07_Leo,1p4mps,L,trial_1;trial_2;trial_3,8418,0.09063363224097934,0.9236503233250533
AB07_Leo,1p4mps,both,trial_1;trial_2;trial_3,16836,0.08467211237400936,0.9417532005735155
AB07_Leo,transient_15sec,R,trial_1;trial_2;trial_3,3918,0.10720755261411348,0.8173682844598259
AB07_Leo,transient_15sec,L,trial_1;trial_2;trial_3,3918,0.08895608069447639,0.8519828955449791
AB07_Leo,transient_15sec,both,trial_1;trial_2;trial_3,7836,0.09850544053510474,0.8399116722891279
AB07_Leo,transient_30sec,R,trial_1;trial_2;trial_3,8418,0.09879805527871256,0.8445370157672749
AB07_Leo,transient_30sec,L,trial_1;trial_2;trial_3,8418,0.09448052821052766,0.8235565371179296
AB07_Leo,transient_30sec,both,trial_1;trial_2;trial_3,16836,0.09666340035865657,0.8424891073203459
